Date,Time,MSec,Sample,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,Temp,Humid,LUX,VoltsIn,Dark,OptoFreq,OptoPW,OptoCol1,OptoCol2,Error
12/20/2019,09:52:19,595.84,14,55,52,60,53,51,56,67,54,58,52,56,58,27.00,58.00,501,5.00,0,40,8,0,0,0
12/20/2019,09:52:19,795.93,15,56,50,64,55,54,62,57,50,64,63,56,59,19.00,63.00,541,5.00,0,40,8,0,0,0
12/20/2019,09:52:20,1.76,16,62,51,58,60,57,70,66,53,61,64,70,51,22.00,57.00,515,5.00,0,40,8,0,0,0
12/20/2019,09:52:20,196.18,17,53,68,65,70,70,70,51,50,53,58,61,66,27.00,48.00,533,5.00,0,40,8,0,0,0
12/20/2019,09:52:20,396.40,18,59,56,51,54,63,67,60,51,70,60,61,58,22.00,48.00,534,5.00,0,40,8,0,0,0
12/20/2019,09:52:20,596.58,19,57,55,66,63,56,50,54,64,54,55,60,61,27.00,47.00,554,5.00,0,40,8,0,0,0
12/20/2019,09:52:20,796.07,20,63,54,55,59,56,52,55,64,64,52,67,64,23.00,52.00,519,5.00,0,40,8,0,0,0
12/20/2019,09:52:21,1.88,21,55,60,70,57,68,68,54,51,68,68,57,57,25.00,55.00,512,5.00,0,40,8,0,0,0
12/20/2019,09:52:21,196.98,22,65,70,68,70,62,51,66,66,58,58,56,62,21.00,62.00,520,5.00,0,40,8,0,0,0
12/20/2019,09:52:21,395.33,23,68,63,62,65,70,52,51,57,59,66,56,70,25.00,51.00,518,5.00,0,40,8,0,0,0
12/20/2019,09:52:21,596.46,24,69,66,51,55,63,50,60,54,67,52,63,52,22.00,58.00,579,5.00,0,40,8,0,0,0
12/20/2019,09:52:21,796.02,25,60,54,56,58,60,55,64,62,65,67,54,68,20.00,62.00,551,5.00,0,40,8,0,0,0
12/20/2019,09:52:22,1.53,26,61,62,65,60,67,61,62,57,65,68,58,59,25.00,45.00,569,5.00,0,40,8,0,0,0
12/20/2019,09:52:22,196.31,27,69,65,65,66,59,62,60,70,61,50,59,64,24.00,65.00,569,5.00,0,40,8,0,0,0
12/20/2019,09:52:22,395.10,28,67,53,64,69,63,65,52,58,52,60,65,58,25.00,56.00,501,5.00,0,40,8,0,0,0
12/20/2019,09:52:22,596.93,29,67,68,57,66,55,54,63,69,56,69,51,69,25.00,54.00,537,5.00,0,40,8,0,0,0
12/20/2019,09:52:22,795.79,30,55,58,60,69,52,53,56,58,69,69,55,62,25.00,65.00,523,5.00,0,40,8,0,0,0
12/20/2019,09:52:23,0.94,31,56,58,57,68,52,50,59,68,67,62,52,55,21.00,60.00,572,5.00,0,40,8,0,0,0
12/20/2019,09:52:23,196.38,32,56,64,54,63,66,56,62,59,50,62,53,67,26.00,65.00,571,5.00,0,40,8,0,0,0
12/20/2019,09:52:23,395.52,33,70,54,66,50,68,67,69,56,64,56,58,68,25.00,65.00,530,5.00,0,40,8,0,0,0
12/20/2019,09:52:23,595.75,34,70,69,57,69,64,52,69,63,60,61,60,66,20.00,48.00,531,5.00,0,40,8,0,0,0
12/20/2019,09:52:23,796.75,35,55,52,70,63,69,61,51,57,57,65,55,55,28.00,54.00,532,5.00,0,40,8,0,0,0
12/20/2019,09:52:24,0.94,36,51,66,59,52,58,69,58,52,67,65,56,57,24.00,53.00,562,5.00,0,40,8,0,0,0
12/20/2019,09:52:24,195.81,37,65,51,62,65,54,69,62,55,60,60,54,56,18.00,65.00,517,5.00,0,40,8,0,0,0
12/20/2019,09:52:24,396.74,38,58,59,56,53,69,53,67,50,51,61,55,64,20.00,50.00,507,5.00,0,40,8,0,0,0
12/20/2019,09:52:24,595.61,39,64,69,66,60,67,68,54,63,64,63,53,68,22.00,62.00,534,5.00,0,40,8,0,0,0
12/20/2019,09:52:24,795.43,40,61,69,60,67,61,60,70,55,69,53,61,64,21.00,53.00,566,5.00,0,40,8,0,0,0
12/20/2019,09:52:25,0.96,41,67,53,54,55,51,52,59,67,56,58,66,64,26.00,45.00,545,5.00,0,40,8,0,0,0
12/20/2019,09:52:25,196.84,42,53,54,68,68,61,60,56,52,59,51,55,58,28.00,58.00,552,5.00,0,40,8,0,0,0
12/20/2019,09:52:25,395.09,43,56,67,68,56,55,69,61,59,57,65,58,52,21.00,50.00,570,5.00,0,40,8,0,0,0
12/20/2019,09:52:25,595.17,44,67,58,55,56,61,63,69,57,53,67,60,62,24.00,46.00,575,5.00,0,40,8,0,0,0
12/20/2019,09:52:25,795.27,45,61,51,63,68,56,64,62,70,59,54,62,70,20.00,65.00,558,5.00,0,40,8,0,0,0
12/20/2019,09:52:26,0.86,46,63,67,68,59,56,54,62,66,53,52,65,68,23.00,53.00,539,5.00,0,40,8,0,0,0
12/20/2019,09:52:26,195.04,47,53,51,63,58,59,63,68,68,69,59,67,59,21.00,51.00,561,5.00,0,40,8,0,0,0
12/20/2019,09:52:26,396.56,48,55,62,59,53,66,58,60,67,58,68,50,67,26.00,64.00,560,5.00,0,40,8,0,0,0
12/20/2019,09:52:26,595.66,49,61,64,60,54,62,59,52,54,55,52,65,62,21.00,49.00,554,5.00,0,40,8,0,0,0
12/20/2019,09:52:26,795.49,50,67,64,64,57,69,58,55,55,67,52,53,58,26.00,49.00,556,5.00,0,40,8,0,0,0
12/20/2019,09:52:27,1.37,51,62,52,62,63,69,59,56,55,64,55,51,61,23.00,46.00,562,5.00,0,40,8,0,0,0
12/20/2019,09:52:27,196.72,52,53,70,61,65,58,56,64,63,69,51,58,65,18.00,47.00,544,5.00,0,40,8,0,0,0
12/20/2019,09:52:27,396.47,53,57,57,56,64,69,62,54,59,65,56,55,66,20.00,48.00,531,5.00,0,40,8,0,0,0
12/20/2019,09:52:27,595.50,54,59,65,63,54,50,61,50,57,57,58,53,53,21.00,47.00,533,5.00,0,40,8,0,0,0
12/20/2019,09:52:27,795.42,55,67,69,65,65,66,57,70,50,57,52,65,68,23.00,60.00,565,5.00,0,40,8,0,0,0
12/20/2019,09:52:28,0.08,56,58,59,63,60,65,60,68,52,67,56,59,61,23.00,48.00,556,5.00,0,40,8,0,0,0
12/20/2019,09:52:28,195.23,57,58,55,54,54,56,57,56,55,57,54,68,62,26.00,46.00,539,5.00,0,40,8,0,0,0
12/20/2019,09:52:28,395.89,58,51,52,67,61,50,59,64,56,69,64,51,65,20.00,53.00,530,5.00,0,40,8,0,0,0
12/20/2019,09:52:28,596.62,59,62,68,60,61,66,50,62,62,59,62,61,58,26.00,58.00,533,5.00,0,40,8,0,0,0
12/20/2019,09:52:28,796.50,60,67,52,54,50,59,56,50,54,68,67,50,51,20.00,59.00,574,5.00,0,40,8,0,0,0
12/20/2019,09:52:29,1.52,61,62,56,63,55,54,52,59,57,53,65,62,51,22.00,64.00,541,5.00,0,40,8,0,0,0
12/20/2019,09:52:29,195.20,62,58,54,52,61,61,69,58,70,64,65,58,56,21.00,60.00,533,5.00,0,40,8,0,0,0
12/20/2019,09:52:29,396.02,63,54,59,69,59,70,63,58,58,55,51,59,53,24.00,52.00,544,5.00,0,40,8,0,0,0
12/20/2019,09:52:29,596.88,64,52,56,59,63,55,59,58,64,50,58,68,58,20.00,56.00,561,5.00,0,40,8,0,0,0
12/20/2019,09:52:29,796.90,65,56,58,61,57,64,66,61,50,59,69,63,69,25.00,52.00,506,5.00,0,40,8,0,0,0
12/20/2019,09:52:30,1.20,66,65,60,57,53,53,52,53,70,53,55,67,58,27.00,50.00,536,5.00,0,40,8,0,0,0
12/20/2019,09:52:30,196.61,67,68,70,50,70,65,67,68,66,57,50,55,51,26.00,55.00,535,5.00,0,40,8,0,0,0
12/20/2019,09:52:30,396.35,68,53,69,69,59,69,68,68,54,68,63,63,67,18.00,63.00,564,5.00,0,40,8,0,0,0
12/20/2019,09:52:30,595.37,69,55,62,63,51,67,54,53,62,67,65,55,55,24.00,45.00,556,5.00,0,40,8,0,0,0
12/20/2019,09:52:30,796.52,70,52,68,65,67,59,53,56,53,54,57,66,66,24.00,46.00,537,5.00,0,40,8,0,0,0
12/20/2019,09:52:31,1.66,71,60,70,70,58,70,66,50,65,53,56,62,59,27.00,64.00,519,5.00,0,40,8,0,0,0
12/20/2019,09:52:31,196.80,72,66,62,51,50,57,56,50,56,55,62,54,52,22.00,59.00,519,5.00,0,40,8,0,0,0
12/20/2019,09:52:31,395.27,73,65,67,63,62,53,70,53,59,66,66,66,53,23.00,59.00,526,5.00,0,40,8,0,0,0
12/20/2019,09:52:31,595.51,74,52,65,69,56,58,55,65,66,57,61,51,51,23.00,59.00,502,5.00,0,40,8,0,0,0
12/20/2019,09:52:31,795.84,75,59,53,69,54,60,70,55,68,66,65,56,57,20.00,56.00,577,5.00,0,40,8,0,0,0
12/20/2019,09:52:32,0.05,76,65,62,55,61,64,67,68,66,62,69,67,60,21.00,65.00,544,5.00,0,40,8,0,0,0
12/20/2019,09:52:32,196.96,77,69,52,66,70,59,56,50,55,63,60,64,60,18.00,60.00,551,5.00,0,40,8,0,0,0
12/20/2019,09:52:32,395.69,78,58,57,54,55,53,61,53,56,50,70,67,61,25.00,52.00,531,5.00,0,40,8,0,0,0
12/20/2019,09:52:32,595.64,79,61,55,59,59,58,67,58,61,55,60,55,58,23.00,48.00,534,5.00,0,40,8,0,0,0
12/20/2019,09:52:32,796.41,80,61,53,55,63,57,67,67,55,68,57,63,62,19.00,57.00,570,5.00,0,40,8,0,0,0
12/20/2019,09:52:33,1.28,81,66,68,53,55,55,64,52,66,67,66,67,60,20.00,45.00,543,5.00,0,40,8,0,0,0
12/20/2019,09:52:33,195.93,82,63,62,54,66,69,66,50,68,65,60,62,63,20.00,47.00,536,5.00,0,40,8,0,0,0
12/20/2019,09:52:33,396.63,83,55,54,67,65,56,60,67,55,51,70,50,52,20.00,57.00,518,5.00,0,40,8,0,0,0
12/20/2019,09:52:33,596.52,84,54,51,53,53,64,50,51,51,56,69,64,69,24.00,53.00,514,5.00,0,40,8,0,0,0
12/20/2019,09:52:33,796.82,85,69,50,53,61,50,63,63,65,64,64,64,68,28.00,45.00,510,5.00,0,40,8,0,0,0
12/20/2019,09:52:34,0.66,86,60,67,50,52,63,66,66,54,62,59,64,68,20.00,61.00,501,5.00,0,40,8,0,0,0
12/20/2019,09:52:34,196.51,87,66,67,50,66,66,70,65,54,68,56,70,63,28.00,51.00,548,5.00,0,40,8,0,0,0
12/20/2019,09:52:34,396.36,88,53,62,61,66,56,59,70,66,70,54,51,70,26.00,64.00,509,5.00,0,40,8,0,0,0
12/20/2019,09:52:34,596.26,89,59,53,68,54,63,65,51,62,56,61,70,57,20.00,57.00,576,5.00,0,40,8,0,0,0
12/20/2019,09:52:34,796.30,90,66,55,50,66,65,54,59,53,68,63,69,52,23.00,58.00,522,5.00,0,40,8,0,0,0
12/20/2019,09:52:35,1.87,91,55,63,59,50,62,54,56,55,61,57,56,60,18.00,50.00,563,5.00,0,40,8,0,0,0
12/20/2019,09:52:35,195.03,92,55,68,54,70,64,57,58,60,68,69,51,59,18.00,64.00,503,5.00,0,40,8,0,0,0
12/20/2019,09:52:35,396.04,93,69,59,62,54,55,59,50,56,70,63,61,67,19.00,57.00,512,5.00,0,40,8,0,0,0
12/20/2019,09:52:35,595.22,94,56,54,57,69,53,69,59,60,50,54,57,50,26.00,57.00,531,5.00,0,40,8,0,0,0
12/20/2019,09:52:35,796.82,95,57,60,65,51,58,62,70,50,50,61,52,70,27.00,52.00,573,5.00,0,40,8,0,0,0
12/20/2019,09:52:36,1.50,96,51,67,60,52,61,67,50,56,63,69,64,58,25.00,65.00,525,5.00,0,40,8,0,0,0
12/20/2019,09:52:36,195.52,97,65,64,59,56,53,58,69,69,64,52,68,56,23.00,51.00,564,5.00,0,40,8,0,0,0
12/20/2019,09:52:36,396.64,98,57,63,52,55,65,64,60,61,58,61,53,61,24.00,50.00,551,5.00,0,40,8,0,0,0
12/20/2019,09:52:36,595.90,99,51,58,50,56,52,54,68,56,62,56,66,66,25.00,46.00,510,5.00,0,40,8,0,0,0
12/20/2019,09:52:36,795.90,100,59,65,67,51,60,62,61,55,70,64,50,64,26.00,48.00,504,5.00,0,40,8,0,0,0
12/20/2019,09:52:37,0.84,101,65,54,52,60,52,63,58,59,67,51,55,54,24.00,55.00,519,5.00,0,40,8,0,0,0
12/20/2019,09:52:37,195.88,102,53,60,66,64,54,63,69,70,57,55,59,62,19.00,64.00,533,5.00,0,40,8,0,0,0
12/20/2019,09:52:37,395.76,103,56,64,61,67,69,59,61,53,70,56,59,69,18.00,60.00,553,5.00,0,40,8,0,0,0
12/20/2019,09:52:37,596.72,104,60,53,58,53,60,54,51,56,50,61,53,64,28.00,46.00,549,5.00,0,40,8,0,0,0
12/20/2019,09:52:37,796.74,105,59,62,57,55,52,59,59,60,54,62,53,63,20.00,45.00,519,5.00,0,40,8,0,0,0
12/20/2019,09:52:38,1.13,106,57,63,64,66,53,64,62,55,58,51,64,68,19.00,56.00,500,5.00,0,40,8,0,0,0
12/20/2019,09:52:38,196.34,107,63,62,58,55,58,69,66,65,54,57,62,68,24.00,46.00,543,5.00,0,40,8,0,0,0
12/20/2019,09:52:38,395.28,108,65,54,63,51,61,57,67,53,66,70,58,69,27.00,49.00,567,5.00,0,40,8,0,0,0
12/20/2019,09:52:38,595.07,109,68,63,52,56,70,59,67,65,67,63,59,68,23.00,46.00,574,5.00,0,40,8,0,0,0
12/20/2019,09:52:38,795.56,110,60,60,54,58,59,63,59,57,58,62,52,66,19.00,60.00,539,5.00,0,40,8,0,0,0
12/20/2019,09:52:39,1.99,111,57,61,60,65,57,54,68,54,50,60,67,60,24.00,53.00,506,5.00,0,40,8,0,0,0
12/20/2019,09:52:39,196.61,112,67,59,64,65,52,68,53,63,62,69,68,59,19.00,57.00,501,5.00,0,40,8,0,0,0
12/20/2019,09:52:39,395.86,113,57,63,63,61,64,57,50,62,56,69,57,53,20.00,49.00,561,5.00,0,40,8,0,0,0
12/20/2019,09:52:39,596.86,114,51,64,50,64,56,65,52,61,67,68,66,52,23.00,49.00,558,5.00,0,40,8,0,0,0
12/20/2019,09:52:39,795.83,115,66,66,61,61,59,55,66,60,70,68,51,51,18.00,52.00,529,5.00,0,40,8,0,0,0
12/20/2019,09:52:40,1.05,116,54,51,62,61,65,64,69,68,68,62,66,56,25.00,53.00,561,5.00,0,40,8,0,0,0
12/20/2019,09:52:40,196.15,117,51,62,69,60,59,66,65,62,70,54,56,64,23.00,56.00,579,5.00,0,40,8,0,0,0
12/20/2019,09:52:40,395.89,118,51,63,54,56,70,61,67,69,60,69,63,60,18.00,54.00,511,5.00,0,40,8,0,0,0
12/20/2019,09:52:40,596.30,119,60,66,68,55,63,56,50,61,58,58,67,50,25.00,63.00,527,5.00,0,40,8,0,0,0
12/20/2019,09:52:40,795.90,120,70,55,60,56,53,69,58,59,70,61,67,51,24.00,50.00,537,5.00,0,40,8,0,0,0
12/20/2019,09:52:41,0.17,121,63,61,51,61,67,59,61,55,68,64,51,57,23.00,59.00,525,5.00,0,40,8,0,0,0
12/20/2019,09:52:41,196.63,122,63,65,63,56,63,53,57,57,59,55,56,70,19.00,65.00,518,5.00,0,40,8,0,0,0
12/20/2019,09:52:41,395.42,123,64,59,59,67,63,51,60,64,61,63,57,51,24.00,45.00,543,5.00,0,40,8,0,0,0
12/20/2019,09:52:41,595.81,124,63,57,55,60,57,55,59,57,68,56,66,62,21.00,65.00,564,5.00,0,40,8,0,0,0
12/20/2019,09:52:41,795.13,125,52,57,50,70,62,66,64,67,52,70,60,66,19.00,60.00,518,5.00,0,40,8,0,0,0
12/20/2019,09:52:42,0.15,126,65,54,57,69,67,55,70,65,59,70,50,61,19.00,57.00,513,5.00,0,40,8,0,0,0
12/20/2019,09:52:42,196.68,127,52,52,57,51,56,67,60,62,56,51,50,51,23.00,53.00,558,5.00,0,40,8,0,0,0
12/20/2019,09:52:42,395.59,128,58,65,63,51,52,52,58,55,69,65,66,63,28.00,47.00,540,5.00,0,40,8,0,0,0
12/20/2019,09:52:42,595.49,129,64,64,63,61,64,69,70,60,55,68,69,55,24.00,60.00,529,5.00,0,40,8,0,0,0
12/20/2019,09:52:42,796.53,130,53,69,50,56,58,60,65,65,56,57,50,52,24.00,51.00,525,5.00,0,40,8,0,0,0
12/20/2019,09:52:43,0.97,131,57,52,65,69,68,64,58,69,54,51,59,55,24.00,54.00,561,5.00,0,40,8,0,0,0
12/20/2019,09:52:43,195.31,132,63,52,68,66,54,59,54,55,59,70,67,61,23.00,60.00,525,5.00,0,40,8,0,0,0
12/20/2019,09:52:43,396.54,133,55,68,58,52,66,54,68,65,63,52,55,51,18.00,53.00,570,5.00,0,40,8,0,0,0
12/20/2019,09:52:43,596.25,134,58,68,67,50,70,59,68,54,63,60,67,52,18.00,47.00,509,5.00,0,40,8,0,0,0
12/20/2019,09:52:43,795.11,135,60,69,51,55,55,52,62,50,55,62,70,61,19.00,49.00,578,5.00,0,40,8,0,0,0
12/20/2019,09:52:44,1.66,136,52,68,53,59,62,50,64,59,52,65,55,65,27.00,56.00,513,5.00,0,40,8,0,0,0
12/20/2019,09:52:44,196.79,137,56,53,64,58,51,62,57,52,58,66,59,66,28.00,65.00,541,5.00,0,40,8,0,0,0
12/20/2019,09:52:44,396.83,138,60,64,50,50,65,60,70,62,55,67,67,51,27.00,65.00,504,5.00,0,40,8,0,0,0
12/20/2019,09:52:44,595.87,139,70,59,53,64,52,63,69,67,60,65,56,59,20.00,58.00,569,5.00,0,40,8,0,0,0
12/20/2019,09:52:44,795.69,140,63,64,55,62,64,63,66,54,61,68,70,52,22.00,51.00,573,5.00,0,40,8,0,0,0
12/20/2019,09:52:45,0.53,141,63,52,64,60,57,50,65,55,68,64,67,59,24.00,58.00,515,5.00,0,40,8,0,0,0
12/20/2019,09:52:45,196.00,142,58,60,70,51,56,68,54,65,63,65,59,57,20.00,52.00,576,5.00,0,40,8,0,0,0
12/20/2019,09:52:45,396.86,143,64,67,67,56,63,60,53,51,57,52,52,65,28.00,52.00,502,5.00,0,40,8,0,0,0
12/20/2019,09:52:45,595.34,144,56,62,52,51,64,52,59,52,52,53,51,60,18.00,45.00,502,5.00,0,40,8,0,0,0
12/20/2019,09:52:45,796.87,145,54,56,56,68,53,57,63,66,53,56,69,54,25.00,54.00,555,5.00,0,40,8,0,0,0
12/20/2019,09:52:46,1.02,146,58,62,68,53,69,52,54,70,69,69,57,59,19.00,60.00,546,5.00,0,40,8,0,0,0
12/20/2019,09:52:46,196.69,147,68,68,56,57,52,52,56,61,54,66,67,68,25.00,47.00,542,5.00,0,40,8,0,0,0
12/20/2019,09:52:46,396.93,148,54,50,52,58,66,57,57,58,69,67,63,63,26.00,50.00,549,5.00,0,40,8,0,0,0
12/20/2019,09:52:46,596.01,149,52,64,64,65,68,64,53,63,64,68,58,52,19.00,47.00,577,5.00,0,40,8,0,0,0
12/20/2019,09:52:46,795.99,150,62,64,70,63,70,54,61,64,57,55,68,58,20.00,61.00,567,5.00,0,40,8,0,0,0
12/20/2019,09:52:47,0.79,151,63,53,56,62,54,59,65,53,51,66,63,50,19.00,58.00,518,5.00,0,40,8,0,0,0
12/20/2019,09:52:47,195.28,152,56,66,64,50,68,63,51,63,56,51,67,54,18.00,63.00,550,5.00,0,40,8,0,0,0
12/20/2019,09:52:47,395.13,153,59,69,63,55,50,65,54,66,53,66,53,58,24.00,52.00,576,5.00,0,40,8,0,0,0
12/20/2019,09:52:47,595.92,154,60,67,52,65,59,64,55,56,57,69,65,51,23.00,61.00,538,5.00,0,40,8,0,0,0
12/20/2019,09:52:47,795.60,155,61,55,62,51,50,67,69,52,67,64,59,53,24.00,45.00,558,5.00,0,40,8,0,0,0
12/20/2019,09:52:48,1.16,156,57,66,57,59,54,52,69,55,57,61,51,58,23.00,56.00,559,5.00,0,40,8,0,0,0
12/20/2019,09:52:48,196.69,157,69,66,52,70,57,56,50,65,64,65,52,57,21.00,64.00,511,5.00,0,40,8,0,0,0
12/20/2019,09:52:48,395.61,158,51,58,53,51,68,59,68,60,59,66,64,55,22.00,53.00,517,5.00,0,40,8,0,0,0
12/20/2019,09:52:48,595.57,159,63,64,64,55,66,59,51,61,65,70,64,50,19.00,53.00,570,5.00,0,40,8,0,0,0
12/20/2019,09:52:48,795.60,160,67,50,58,68,56,57,57,62,51,52,60,58,18.00,45.00,554,5.00,0,40,8,0,0,0
12/20/2019,09:52:49,0.19,161,64,65,52,61,66,68,51,68,55,57,55,69,26.00,48.00,553,5.00,0,40,8,0,0,0
12/20/2019,09:52:49,195.14,162,66,50,58,62,60,52,52,67,55,69,50,50,23.00,59.00,563,5.00,0,40,8,0,0,0
12/20/2019,09:52:49,395.46,163,51,59,69,60,59,53,61,60,55,55,54,54,20.00,54.00,561,5.00,0,40,8,0,0,0
12/20/2019,09:52:49,595.33,164,56,67,64,69,56,57,58,50,60,57,59,58,23.00,50.00,508,5.00,0,40,8,0,0,0
12/20/2019,09:52:49,796.68,165,65,69,64,52,50,53,67,54,50,66,56,66,21.00,56.00,511,5.00,0,40,8,0,0,0
12/20/2019,09:52:50,1.07,166,57,61,64,57,51,69,59,51,63,57,64,69,18.00,60.00,535,5.00,0,40,8,0,0,0
12/20/2019,09:52:50,195.92,167,59,55,50,60,61,55,61,62,63,64,68,64,22.00,61.00,570,5.00,0,40,8,0,0,0
12/20/2019,09:52:50,396.76,168,70,61,68,55,64,69,61,62,56,55,66,50,20.00,55.00,576,5.00,0,40,8,0,0,0
12/20/2019,09:52:50,596.40,169,55,51,70,60,52,52,66,68,66,69,61,58,21.00,61.00,559,5.00,0,40,8,0,0,0
12/20/2019,09:52:50,795.67,170,54,60,63,64,54,65,62,57,53,54,60,67,27.00,65.00,532,5.00,0,40,8,0,0,0
12/20/2019,09:52:51,0.82,171,55,62,55,60,60,55,58,63,53,70,54,54,23.00,49.00,575,5.00,0,40,8,0,0,0
12/20/2019,09:52:51,196.97,172,62,67,54,64,52,57,69,57,50,69,60,63,22.00,56.00,519,5.00,0,40,8,0,0,0
12/20/2019,09:52:51,396.62,173,68,68,57,60,68,51,50,56,64,56,55,58,26.00,49.00,517,5.00,0,40,8,0,0,0
12/20/2019,09:52:51,596.94,174,53,60,70,53,63,65,62,70,67,55,53,66,24.00,52.00,520,5.00,0,40,8,0,0,0
12/20/2019,09:52:51,796.94,175,51,51,63,68,50,69,60,55,67,67,64,67,26.00,52.00,530,5.00,0,40,8,0,0,0
12/20/2019,09:52:52,0.71,176,58,53,57,55,59,50,70,69,67,61,58,55,21.00,62.00,568,5.00,0,40,8,0,0,0
12/20/2019,09:52:52,195.56,177,61,50,55,64,56,51,68,55,50,66,65,53,27.00,53.00,576,5.00,0,40,8,0,0,0
12/20/2019,09:52:52,395.19,178,70,54,57,65,60,67,58,51,54,52,68,60,26.00,50.00,510,5.00,0,40,8,0,0,0
12/20/2019,09:52:52,595.36,179,62,60,53,62,57,52,66,70,58,63,51,55,27.00,56.00,520,5.00,0,40,8,0,0,0
12/20/2019,09:52:52,796.01,180,53,70,64,64,54,65,63,56,50,59,54,54,20.00,53.00,564,5.00,0,40,8,0,0,0
12/20/2019,09:52:53,1.16,181,60,54,64,57,52,50,66,53,54,70,61,62,22.00,46.00,563,5.00,0,40,8,0,0,0
12/20/2019,09:52:53,195.87,182,64,69,68,62,50,52,54,70,58,53,61,63,19.00,50.00,501,5.00,0,40,8,0,0,0
12/20/2019,09:52:53,396.97,183,64,58,57,63,61,59,60,61,56,68,70,67,23.00,45.00,534,5.00,0,40,8,0,0,0
12/20/2019,09:52:53,596.62,184,65,63,50,67,59,63,58,61,57,54,57,65,25.00,47.00,507,5.00,0,40,8,0,0,0
12/20/2019,09:52:53,796.25,185,53,54,55,60,66,55,50,69,57,69,55,50,28.00,65.00,514,5.00,0,40,8,0,0,0
12/20/2019,09:52:54,1.94,186,61,66,65,61,58,62,55,63,61,62,69,67,27.00,49.00,578,5.00,0,40,8,0,0,0
12/20/2019,09:52:54,196.80,187,62,70,70,66,61,61,62,51,68,59,56,59,25.00,59.00,522,5.00,0,40,8,0,0,0
12/20/2019,09:52:54,395.26,188,53,63,67,64,64,68,53,57,70,60,61,59,19.00,57.00,516,5.00,0,40,8,0,0,0
12/20/2019,09:52:54,596.99,189,58,57,53,68,65,69,60,65,60,56,52,61,24.00,59.00,562,5.00,0,40,8,0,0,0
12/20/2019,09:52:54,796.98,190,64,50,57,52,65,57,50,64,59,60,68,55,24.00,65.00,515,5.00,0,40,8,0,0,0
12/20/2019,09:52:55,0.17,191,61,66,57,52,53,66,60,56,61,59,68,51,23.00,57.00,540,5.00,0,40,8,0,0,0
12/20/2019,09:52:55,195.03,192,60,51,62,66,69,50,55,53,54,51,68,69,18.00,50.00,547,5.00,0,40,8,0,0,0
12/20/2019,09:52:55,395.81,193,55,66,50,57,53,52,52,61,54,63,56,69,24.00,48.00,571,5.00,0,40,8,0,0,0
12/20/2019,09:52:55,595.63,194,54,52,62,66,60,65,69,57,69,57,54,53,23.00,46.00,530,5.00,0,40,8,0,0,0
12/20/2019,09:52:55,795.02,195,63,55,65,57,64,50,66,53,59,66,51,57,28.00,59.00,526,5.00,0,40,8,0,0,0
12/20/2019,09:52:56,0.00,196,70,51,70,54,55,64,65,59,52,53,58,50,26.00,63.00,507,5.00,0,40,8,0,0,0
12/20/2019,09:52:56,195.40,197,53,59,53,70,66,52,62,54,51,60,54,54,19.00,46.00,507,5.00,0,40,8,0,0,0
12/20/2019,09:52:56,395.60,198,65,58,52,62,68,67,64,52,58,50,58,68,21.00,60.00,540,5.00,0,40,8,0,0,0
12/20/2019,09:52:56,596.86,199,68,67,62,58,66,54,60,65,59,53,68,64,18.00,48.00,528,5.00,0,40,8,0,0,0
