Date,Time,MSec,Sample,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,Temp,Humid,LUX,VoltsIn,Dark,OptoFreq,OptoPW,OptoCol1,OptoCol2,Error,Index
12/27/2019,22:23:10,604.50,14,52,70,63,53,61,61,65,66,56,60,64,53,27.00,46.00,511,5.00,0,40,8,0,0,0,179
12/27/2019,22:23:10,804.50,15,65,57,65,60,52,58,63,56,57,53,61,57,26.00,58.00,567,5.00,0,40,8,0,0,0,180
12/27/2019,22:23:11,0.03,16,54,52,66,59,53,67,67,60,69,59,69,53,24.00,50.00,562,5.00,0,40,8,0,0,0,186
12/27/2019,22:23:11,200.03,17,64,53,61,61,61,66,54,53,68,51,55,55,20.00,46.00,537,5.00,0,40,8,0,0,0,187
12/27/2019,22:23:11,400.03,18,51,54,53,70,53,55,52,69,67,57,53,64,19.00,53.00,534,5.00,0,40,8,0,0,0,188
12/27/2019,22:23:11,600.03,19,62,59,65,66,56,69,66,70,58,54,55,57,25.00,47.00,512,5.00,0,40,8,0,0,0,189
12/27/2019,22:23:11,800.03,20,63,69,63,59,60,62,56,55,50,53,62,69,20.00,56.00,545,5.00,0,40,8,0,0,0,190
12/27/2019,22:23:12,2.93,21,60,52,58,66,66,60,59,58,68,52,66,64,23.00,65.00,533,5.00,0,40,8,0,0,0,196
12/27/2019,22:23:12,202.93,22,66,54,58,53,61,56,64,50,67,53,66,52,22.00,64.00,530,5.00,0,40,8,0,0,0,197
12/27/2019,22:23:12,402.93,23,51,61,69,68,62,69,57,52,69,70,52,50,25.00,47.00,525,5.00,0,40,8,0,0,0,198
12/27/2019,22:23:12,602.93,24,66,57,51,66,51,55,62,57,70,50,62,59,26.00,54.00,560,5.00,0,40,8,0,0,0,199
12/27/2019,22:23:12,802.93,25,62,69,63,56,53,60,57,68,64,63,50,63,25.00,64.00,558,5.00,0,40,8,0,0,0,200
12/27/2019,22:23:13,0.81,26,63,63,52,67,62,66,58,57,58,54,69,66,27.00,60.00,531,5.00,0,40,8,0,0,0,206
12/27/2019,22:23:13,200.81,27,53,60,59,70,63,60,59,54,59,55,59,52,28.00,46.00,522,5.00,0,40,8,0,0,0,207
12/27/2019,22:23:13,400.81,28,51,65,57,59,59,64,66,50,69,65,56,60,24.00,63.00,524,5.00,0,40,8,0,0,0,208
12/27/2019,22:23:13,600.81,29,65,67,55,66,61,65,63,69,68,58,52,58,22.00,53.00,575,5.00,0,40,8,0,0,0,209
12/27/2019,22:23:13,800.81,30,68,69,53,51,70,53,57,52,52,60,64,65,26.00,65.00,531,5.00,0,40,8,0,0,0,210
12/27/2019,22:23:14,0.05,31,53,59,50,55,59,50,51,54,65,61,70,62,22.00,47.00,565,5.00,0,40,8,0,0,0,216
12/27/2019,22:23:14,200.05,32,69,70,61,59,58,58,61,58,59,55,64,69,27.00,62.00,544,5.00,0,40,8,0,0,0,217
12/27/2019,22:23:14,400.05,33,61,62,57,64,60,50,68,62,67,62,50,66,27.00,58.00,570,5.00,0,40,8,0,0,0,218
12/27/2019,22:23:14,600.05,34,59,64,58,64,65,61,52,59,67,60,70,50,26.00,59.00,528,5.00,0,40,8,0,0,0,219
12/27/2019,22:23:14,800.05,35,66,65,65,65,59,68,57,59,64,68,56,57,18.00,59.00,531,5.00,0,40,8,0,0,0,220
12/27/2019,22:23:15,1.34,36,50,59,58,65,60,59,65,61,58,62,56,60,20.00,47.00,548,5.00,0,40,8,0,0,0,226
12/27/2019,22:23:15,201.34,37,60,69,68,60,70,70,52,70,68,66,64,63,21.00,56.00,565,5.00,0,40,8,0,0,0,227
12/27/2019,22:23:15,401.34,38,59,51,63,58,60,55,64,58,62,63,63,51,27.00,63.00,569,5.00,0,40,8,0,0,0,228
12/27/2019,22:23:15,601.34,39,53,59,59,64,64,69,62,66,59,58,59,54,18.00,54.00,541,5.00,0,40,8,0,0,0,229
12/27/2019,22:23:15,801.34,40,70,69,70,70,68,58,62,62,64,69,51,57,18.00,46.00,511,5.00,0,40,8,0,0,0,230
12/27/2019,22:23:16,3.41,41,52,55,51,51,51,68,54,70,54,68,53,68,23.00,50.00,564,5.00,0,40,8,0,0,0,236
12/27/2019,22:23:16,203.41,42,58,62,52,54,59,67,50,52,64,53,57,50,18.00,50.00,507,5.00,0,40,8,0,0,0,237
12/27/2019,22:23:16,403.41,43,66,50,61,60,51,51,56,50,68,57,68,57,28.00,60.00,569,5.00,0,40,8,0,0,0,238
12/27/2019,22:23:16,603.41,44,56,54,52,53,51,58,54,61,70,58,64,60,28.00,57.00,575,5.00,0,40,8,0,0,0,239
12/27/2019,22:23:16,803.41,45,57,60,68,54,63,67,62,56,65,58,59,64,26.00,45.00,507,5.00,0,40,8,0,0,0,240
12/27/2019,22:23:17,4.12,46,53,70,68,54,61,68,58,63,57,65,63,52,23.00,64.00,532,5.00,0,40,8,0,0,0,246
12/27/2019,22:23:17,204.12,47,52,62,51,61,68,58,59,52,52,54,67,62,23.00,59.00,513,5.00,0,40,8,0,0,0,247
12/27/2019,22:23:17,404.12,48,54,64,52,50,67,65,55,56,56,51,51,62,25.00,55.00,573,5.00,0,40,8,0,0,0,248
12/27/2019,22:23:17,604.12,49,59,53,68,56,54,56,57,69,62,67,61,64,24.00,65.00,577,5.00,0,40,8,0,0,0,249
12/27/2019,22:23:17,804.12,50,52,51,50,64,69,64,68,50,65,66,59,51,23.00,63.00,536,5.00,0,40,8,0,0,0,250
12/27/2019,22:23:18,4.94,51,66,54,59,59,69,64,68,63,59,57,52,54,19.00,50.00,564,5.00,0,40,8,0,0,0,256
12/27/2019,22:23:18,204.94,52,51,67,69,68,56,70,52,65,62,57,54,63,23.00,65.00,535,5.00,0,40,8,0,0,0,257
12/27/2019,22:23:18,404.94,53,57,68,70,53,64,50,59,54,53,67,50,67,27.00,49.00,542,5.00,0,40,8,0,0,0,258
12/27/2019,22:23:18,604.94,54,65,53,58,66,54,57,68,58,62,70,51,62,20.00,56.00,502,5.00,0,40,8,0,0,0,259
12/27/2019,22:23:18,804.94,55,60,66,58,61,55,51,65,63,61,62,53,56,26.00,49.00,537,5.00,0,40,8,0,0,0,260
12/27/2019,22:23:19,1.03,56,65,52,54,56,60,67,52,65,61,54,57,64,24.00,64.00,527,5.00,0,40,8,0,0,0,266
12/27/2019,22:23:19,201.03,57,65,63,50,68,63,70,68,57,50,68,55,64,28.00,56.00,571,5.00,0,40,8,0,0,0,267
12/27/2019,22:23:19,401.04,58,58,70,58,64,59,60,66,53,58,62,50,55,25.00,51.00,508,5.00,0,40,8,0,0,0,268
12/27/2019,22:23:19,601.03,59,59,59,58,63,59,63,64,69,59,63,52,52,22.00,63.00,509,5.00,0,40,8,0,0,0,269
12/27/2019,22:23:19,801.03,60,60,60,54,61,58,52,58,68,67,62,65,51,18.00,62.00,525,5.00,0,40,8,0,0,0,270
12/27/2019,22:23:20,4.17,61,68,53,50,57,50,59,66,61,62,53,53,51,20.00,52.00,503,5.00,0,40,8,0,0,0,276
12/27/2019,22:23:20,204.17,62,64,57,60,63,55,67,58,62,53,69,52,63,22.00,56.00,546,5.00,0,40,8,0,0,0,277
12/27/2019,22:23:20,404.17,63,51,53,55,65,70,63,60,65,55,60,63,64,27.00,56.00,563,5.00,0,40,8,0,0,0,278
12/27/2019,22:23:20,604.17,64,70,68,58,58,62,61,63,60,50,68,53,70,24.00,65.00,506,5.00,0,40,8,0,0,0,279
12/27/2019,22:23:20,804.17,65,52,53,51,52,67,51,57,70,56,54,52,67,21.00,49.00,525,5.00,0,40,8,0,0,0,280
12/27/2019,22:23:21,4.80,66,57,56,53,55,69,56,60,70,61,53,66,64,28.00,53.00,513,5.00,0,40,8,0,0,0,286
12/27/2019,22:23:21,204.80,67,61,57,61,58,53,69,62,54,51,62,51,53,27.00,59.00,570,5.00,0,40,8,0,0,0,287
12/27/2019,22:23:21,404.80,68,51,64,56,59,66,61,68,52,69,57,50,64,20.00,63.00,528,5.00,0,40,8,0,0,0,288
12/27/2019,22:23:21,604.80,69,60,51,62,52,63,59,54,68,59,58,63,54,28.00,63.00,547,5.00,0,40,8,0,0,0,289
12/27/2019,22:23:21,804.80,70,70,60,66,64,57,60,55,66,52,54,55,69,26.00,52.00,569,5.00,0,40,8,0,0,0,290
12/27/2019,22:23:22,3.62,71,62,65,58,51,55,66,68,52,62,52,61,50,27.00,63.00,556,5.00,0,40,8,0,0,0,296
12/27/2019,22:23:22,203.62,72,66,53,53,51,51,70,63,70,66,50,70,56,22.00,65.00,545,5.00,0,40,8,0,0,0,297
12/27/2019,22:23:22,403.62,73,66,63,70,65,67,62,55,52,64,52,61,52,25.00,65.00,535,5.00,0,40,8,0,0,0,298
12/27/2019,22:23:22,603.62,74,68,70,57,65,53,65,62,51,69,57,61,55,23.00,59.00,504,5.00,0,40,8,0,0,0,299
12/27/2019,22:23:22,803.62,75,52,58,57,69,69,50,52,52,59,68,66,58,20.00,55.00,506,5.00,0,40,8,0,0,0,300
12/27/2019,22:23:23,4.16,76,67,68,60,59,57,64,62,55,66,54,66,53,20.00,60.00,541,5.00,0,40,8,0,0,0,306
12/27/2019,22:23:23,204.16,77,60,61,66,52,62,70,50,53,66,69,53,60,28.00,51.00,529,5.00,0,40,8,0,0,0,307
12/27/2019,22:23:23,404.16,78,57,67,62,69,58,58,70,66,54,61,64,60,19.00,63.00,569,5.00,0,40,8,0,0,0,308
12/27/2019,22:23:23,604.16,79,64,50,68,66,62,64,60,63,63,70,64,50,28.00,48.00,525,5.00,0,40,8,0,0,0,309
12/27/2019,22:23:23,804.16,80,60,52,58,57,66,56,68,51,67,57,55,66,19.00,51.00,512,5.00,0,40,8,0,0,0,310
12/27/2019,22:23:24,12.28,81,57,60,67,59,61,55,51,50,50,67,56,54,25.00,48.00,516,5.00,0,40,8,0,0,0,316
12/27/2019,22:23:24,212.28,82,69,57,52,53,68,67,52,62,68,57,61,63,18.00,45.00,510,5.00,0,40,8,0,0,0,317
12/27/2019,22:23:24,412.28,83,62,62,56,55,56,67,70,69,51,66,60,58,25.00,56.00,513,5.00,0,40,8,0,0,0,318
12/27/2019,22:23:24,612.28,84,69,70,62,54,70,53,54,66,57,60,61,62,25.00,45.00,530,5.00,0,40,8,0,0,0,319
12/27/2019,22:23:24,812.28,85,65,60,59,64,69,61,59,60,58,57,62,57,28.00,61.00,570,5.00,0,40,8,0,0,0,320
12/27/2019,22:23:25,3.72,86,55,60,66,68,67,53,70,61,69,51,55,57,21.00,52.00,502,5.00,0,40,8,0,0,0,326
12/27/2019,22:23:25,203.72,87,56,56,52,51,52,57,57,54,70,63,50,65,22.00,47.00,526,5.00,0,40,8,0,0,0,327
12/27/2019,22:23:25,403.72,88,62,63,53,53,53,69,61,57,58,65,61,53,22.00,48.00,553,5.00,0,40,8,0,0,0,328
12/27/2019,22:23:25,603.72,89,64,69,60,66,67,55,55,55,68,64,52,59,22.00,46.00,548,5.00,0,40,8,0,0,0,329
12/27/2019,22:23:25,803.72,90,60,61,57,57,62,59,52,69,70,54,55,64,25.00,60.00,566,5.00,0,40,8,0,0,0,330
12/27/2019,22:23:26,0.34,91,56,61,54,57,70,63,54,53,64,67,50,57,24.00,58.00,503,5.00,0,40,8,0,0,0,336
12/27/2019,22:23:26,200.34,92,70,55,60,66,52,66,66,58,55,65,63,58,25.00,56.00,543,5.00,0,40,8,0,0,0,337
12/27/2019,22:23:26,400.34,93,62,57,56,52,67,65,67,58,53,69,60,60,26.00,60.00,537,5.00,0,40,8,0,0,0,338
12/27/2019,22:23:26,600.34,94,70,69,55,51,67,54,60,62,61,68,64,69,19.00,51.00,565,5.00,0,40,8,0,0,0,339
12/27/2019,22:23:26,800.34,95,60,69,68,67,67,62,66,70,66,59,58,54,19.00,49.00,557,5.00,0,40,8,0,0,0,340
