Date,Time,MSec,Sample,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,Temp,Humid,LUX,Dark,OptoFreq,OptoPW,OptoCol1,OptoCol2,Error
12/18/2019,18:28:01,587.83,29,57,70,57,63,70,52,67,65,60,58,68,63,23.00,48.00,573,5.00,0,40,8,0,0,0
12/18/2019,18:28:01,787.51,30,70,57,66,65,50,53,52,67,59,68,70,64,24.00,49.00,504,5.00,0,40,8,0,0,0
12/18/2019,18:28:02,3.04,31,56,69,60,61,70,60,52,65,59,60,62,54,24.00,54.00,518,5.00,0,40,8,0,0,0
12/18/2019,18:28:02,186.92,32,67,58,70,60,57,61,60,57,62,68,66,65,23.00,59.00,546,5.00,0,40,8,0,0,0
12/18/2019,18:28:02,387.58,33,57,68,55,52,55,70,63,60,65,66,50,50,23.00,57.00,573,5.00,0,40,8,0,0,0
12/18/2019,18:28:02,587.30,34,56,58,64,66,64,64,51,57,63,52,63,69,25.00,48.00,512,5.00,0,40,8,0,0,0
12/18/2019,18:28:02,786.98,35,53,67,50,55,70,64,65,55,54,56,60,68,22.00,47.00,557,5.00,0,40,8,0,0,0
12/18/2019,18:28:03,2.34,36,61,60,52,60,58,62,52,67,63,59,63,68,18.00,46.00,567,5.00,0,40,8,0,0,0
12/18/2019,18:28:03,186.35,37,58,67,64,57,58,60,59,69,54,69,61,54,25.00,65.00,558,5.00,0,40,8,0,0,0
12/18/2019,18:28:03,386.16,38,52,61,56,52,68,53,50,66,58,67,59,66,25.00,51.00,567,5.00,0,40,8,0,0,0
12/18/2019,18:28:03,585.83,39,63,52,60,67,60,66,70,64,53,59,56,60,24.00,53.00,524,5.00,0,40,8,0,0,0
12/18/2019,18:28:03,785.45,40,53,64,66,67,54,55,62,65,54,53,60,63,20.00,57.00,570,5.00,0,40,8,0,0,0
12/18/2019,18:28:04,0.97,41,61,65,68,59,66,70,64,52,64,57,62,61,19.00,55.00,509,5.00,0,40,8,0,0,0
12/18/2019,18:28:04,190.25,42,65,52,59,64,63,56,68,57,68,70,70,59,25.00,48.00,544,5.00,0,40,8,0,0,0
12/18/2019,18:28:04,389.85,43,57,62,52,67,58,60,63,58,64,61,67,60,26.00,55.00,556,5.00,0,40,8,0,0,0
12/18/2019,18:28:04,589.47,44,58,63,59,58,69,53,57,59,59,65,50,56,20.00,51.00,507,5.00,0,40,8,0,0,0
12/18/2019,18:28:04,789.01,45,63,51,64,62,60,58,62,54,63,58,63,54,22.00,50.00,517,5.00,0,40,8,0,0,0
12/18/2019,18:28:05,4.39,46,54,53,64,69,64,63,62,70,64,56,53,67,21.00,57.00,562,5.00,0,40,8,0,0,0
12/18/2019,18:28:05,188.44,47,59,62,53,57,55,56,57,51,65,59,50,63,19.00,48.00,551,5.00,0,40,8,0,0,0
12/18/2019,18:28:05,387.92,48,65,56,58,57,60,57,56,63,57,60,54,55,25.00,52.00,521,5.00,0,40,8,0,0,0
12/18/2019,18:28:05,587.56,49,65,61,67,66,50,65,63,61,67,60,60,58,28.00,52.00,553,5.00,0,40,8,0,0,0
12/18/2019,18:28:05,787.30,50,63,64,56,67,69,68,54,60,63,62,52,64,26.00,54.00,555,5.00,0,40,8,0,0,0
12/18/2019,18:28:06,2.88,51,54,50,63,68,57,60,69,65,66,51,67,50,25.00,50.00,515,5.00,0,40,8,0,0,0
12/18/2019,18:28:06,186.78,52,51,60,54,63,70,56,66,61,56,66,57,62,21.00,64.00,505,5.00,0,40,8,0,0,0
12/18/2019,18:28:06,386.48,53,56,54,57,65,63,50,65,62,54,59,50,57,24.00,54.00,575,5.00,0,40,8,0,0,0
12/18/2019,18:28:06,586.23,54,68,60,62,58,64,55,66,60,50,51,53,53,26.00,54.00,509,5.00,0,40,8,0,0,0
12/18/2019,18:28:06,785.89,55,66,60,57,60,68,50,68,68,59,58,65,58,27.00,64.00,561,5.00,0,40,8,0,0,0
12/18/2019,18:28:07,1.45,56,60,59,56,52,52,58,57,56,54,68,66,53,21.00,63.00,501,5.00,0,40,8,0,0,0
12/18/2019,18:28:07,185.22,57,59,54,57,60,58,59,67,51,53,69,69,52,23.00,62.00,542,5.00,0,40,8,0,0,0
12/18/2019,18:28:07,390.20,58,54,61,55,51,67,61,56,54,59,56,59,55,27.00,61.00,571,5.00,0,40,8,0,0,0
12/18/2019,18:28:07,589.74,59,63,66,69,58,70,53,68,59,57,61,52,63,20.00,50.00,574,5.00,0,40,8,0,0,0
12/18/2019,18:28:07,789.60,60,50,50,66,52,54,63,70,62,55,57,68,56,24.00,56.00,577,5.00,0,40,8,0,0,0
12/18/2019,18:28:08,5.05,61,59,62,50,57,67,64,67,67,50,65,58,61,18.00,48.00,577,5.00,0,40,8,0,0,0
12/18/2019,18:28:08,189.12,62,59,53,63,69,51,61,55,51,57,62,52,67,26.00,48.00,514,5.00,0,40,8,0,0,0
12/18/2019,18:28:08,388.95,63,58,50,69,57,53,51,70,57,61,68,65,52,27.00,55.00,556,5.00,0,40,8,0,0,0
12/18/2019,18:28:08,588.68,64,62,61,69,69,60,61,59,66,56,51,54,70,20.00,64.00,526,5.00,0,40,8,0,0,0
12/18/2019,18:28:08,788.26,65,51,56,63,61,54,70,54,67,52,64,59,68,23.00,56.00,514,5.00,0,40,8,0,0,0
12/18/2019,18:28:09,3.68,66,59,52,54,62,56,63,53,70,52,51,56,61,26.00,48.00,514,5.00,0,40,8,0,0,0
12/18/2019,18:28:09,187.78,67,65,58,54,66,52,56,69,57,54,60,57,51,18.00,62.00,505,5.00,0,40,8,0,0,0
12/18/2019,18:28:09,387.42,68,56,50,63,64,65,58,61,60,68,54,65,65,28.00,56.00,507,5.00,0,40,8,0,0,0
12/18/2019,18:28:09,586.98,69,57,68,67,50,64,64,52,61,64,68,61,55,18.00,60.00,539,5.00,0,40,8,0,0,0
12/18/2019,18:28:09,786.70,70,60,70,51,64,64,53,54,67,57,68,55,55,24.00,64.00,508,5.00,0,40,8,0,0,0
12/18/2019,18:28:10,1.95,71,54,60,69,54,62,61,70,58,65,52,69,66,21.00,60.00,531,5.00,0,40,8,0,0,0
12/18/2019,18:28:10,185.84,72,66,52,50,67,68,64,56,55,55,66,63,67,21.00,57.00,550,5.00,0,40,8,0,0,0
12/18/2019,18:28:10,385.50,73,53,59,50,68,67,52,60,61,54,53,55,58,23.00,62.00,532,5.00,0,40,8,0,0,0
12/18/2019,18:28:10,590.15,74,50,59,68,55,64,54,69,57,53,67,55,52,19.00,56.00,558,5.00,0,40,8,0,0,0
12/18/2019,18:28:10,789.63,75,58,56,51,70,54,63,64,66,54,54,70,68,27.00,49.00,548,5.00,0,40,8,0,0,0
12/18/2019,18:28:11,5.06,76,64,57,60,53,57,60,65,61,64,56,69,58,22.00,55.00,530,5.00,0,40,8,0,0,0
12/18/2019,18:28:11,188.98,77,62,66,57,60,68,50,67,68,65,64,61,68,26.00,59.00,532,5.00,0,40,8,0,0,0
12/18/2019,18:28:11,388.56,78,57,64,56,50,56,66,56,67,68,64,57,62,27.00,64.00,513,5.00,0,40,8,0,0,0
12/18/2019,18:28:11,588.37,79,59,66,59,62,54,64,67,64,64,54,54,69,27.00,62.00,528,5.00,0,40,8,0,0,0
12/18/2019,18:28:11,788.03,80,69,67,70,66,63,62,51,61,65,69,50,59,25.00,57.00,557,5.00,0,40,8,0,0,0
12/18/2019,18:28:12,3.41,81,54,65,66,65,67,70,65,59,65,62,54,50,20.00,50.00,566,5.00,0,40,8,0,0,0
12/18/2019,18:28:12,187.32,82,70,66,60,55,53,57,68,62,69,50,62,68,26.00,47.00,532,5.00,0,40,8,0,0,0
12/18/2019,18:28:12,386.97,83,69,52,68,58,69,60,60,53,59,61,62,64,28.00,45.00,506,5.00,0,40,8,0,0,0
12/18/2019,18:28:12,585.84,84,56,53,61,65,68,59,54,55,61,64,51,62,19.00,50.00,543,5.00,0,40,8,0,0,0
12/18/2019,18:28:12,785.47,85,67,60,55,70,51,65,51,70,70,54,68,66,28.00,48.00,540,5.00,0,40,8,0,0,0
12/18/2019,18:28:13,0.49,86,57,64,56,57,54,50,61,65,50,57,64,69,25.00,49.00,569,5.00,0,40,8,0,0,0
12/18/2019,18:28:13,189.40,87,56,67,68,56,64,52,55,57,70,68,62,68,23.00,47.00,574,5.00,0,40,8,0,0,0
12/18/2019,18:28:13,389.05,88,55,60,55,60,55,59,52,59,54,69,60,54,22.00,53.00,560,5.00,0,40,8,0,0,0
12/18/2019,18:28:13,588.74,89,66,67,50,60,65,55,67,66,55,59,65,68,19.00,52.00,558,5.00,0,40,8,0,0,0
12/18/2019,18:28:13,788.38,90,58,60,57,67,57,70,61,51,50,59,54,66,28.00,65.00,513,5.00,0,40,8,0,0,0
12/18/2019,18:28:14,4.15,91,54,65,53,69,70,62,62,69,70,58,70,69,23.00,59.00,554,5.00,0,40,8,0,0,0
12/18/2019,18:28:14,188.15,92,54,55,60,58,54,70,57,57,52,61,53,54,21.00,51.00,534,5.00,0,40,8,0,0,0
12/18/2019,18:28:14,387.84,93,58,54,70,59,55,55,60,59,61,56,53,64,28.00,59.00,524,5.00,0,40,8,0,0,0
12/18/2019,18:28:14,587.56,94,66,70,61,66,54,51,67,63,51,62,54,65,20.00,46.00,518,5.00,0,40,8,0,0,0
12/18/2019,18:28:14,787.20,95,66,52,65,70,53,51,67,53,51,61,62,67,21.00,58.00,555,5.00,0,40,8,0,0,0
12/18/2019,18:28:15,2.47,96,69,52,58,63,57,64,57,68,60,60,64,63,25.00,49.00,569,5.00,0,40,8,0,0,0
12/18/2019,18:28:15,186.37,97,57,57,53,70,57,68,53,69,56,61,68,66,21.00,51.00,504,5.00,0,40,8,0,0,0
12/18/2019,18:28:15,385.98,98,63,53,58,60,60,69,70,61,57,58,60,51,23.00,51.00,506,5.00,0,40,8,0,0,0
